sample_id,seq13 Bacteroidaceae;Bacteroides;xylanisolvens,seq8 Bacteroidaceae;Bacteroides;xylanisolvens,seq186 Bacteroidaceae;Bacteroides;fragilis-ovatus,seq7 Bacteroidaceae;Bacteroides;stercorirosoris,seq14 Bacteroidaceae;Bacteroides;dorei,seq10 Bacteroidaceae;Bacteroides;uniformis
mim16.m1c3t,0,0,0,0,0,0
mim16.m2c3t,113,416,0,890,0,17
mim16.m3c3t,0,36,0,0,0,0
mim16.m1c4t,49,90,0,115,69,22
mim16.m2c4t,0,0,0,90,42,0
mim16.m3c4t,1181,2360,29,2876,1061,1988
mim16.m1c1l,0,65,0,71,0,30
mim16.m2c1l,0,0,0,199,0,40
mim16.m3c1l,0,0,0,0,0,0
mim16.m3c2l,0,0,0,0,0,0
mim16.m1c3l,0,0,0,0,0,117
mim16.m2c3l,0,125,0,91,0,0
mim16.m3c3l,0,0,0,0,0,0
mim16.m1c4l,0,0,0,0,22,0
mim16.m2c4l,0,0,0,0,0,0
mim16.m3c4l,28,0,0,27,0,0
