sample_id,seq1 Delftia;acidovorans,seq223 Delftia;acidovorans,seq81 Delftia;lacustris-tsuruhatensis,seq42 Delftia;acidovorans,seq71 Delftia;acidovorans,seq217 Delftia;acidovorans,seq72 Delftia;acidovorans,seq106 Delftia;acidovorans,seq92 Delftia;acidovorans,seq105 Delftia;acidovorans,seq43 Delftia;acidovorans,seq56 Delftia;acidovorans
mim16.m1c3t,29718,0,0,0,0,0,0,0,0,0,41,14
mim16.m2c3t,27953,0,0,0,0,0,0,0,0,0,0,20
mim16.m3c3t,36069,15,78,0,0,0,0,0,0,0,31,0
mim16.m1c4t,26637,0,0,0,0,0,0,0,39,0,29,16
mim16.m2c4t,17116,0,0,0,0,0,0,0,0,0,0,0
mim16.m3c4t,17044,0,0,0,0,0,0,0,0,0,0,0
mim16.m1c1l,20852,0,0,0,0,0,0,0,0,0,0,0
mim16.m2c1l,19013,0,0,0,0,0,0,0,0,42,0,17
mim16.m3c1l,18791,0,0,0,0,0,0,0,0,0,12,0
mim16.m3c2l,17915,0,0,0,100,0,96,0,0,0,17,0
mim16.m1c3l,19546,0,0,0,0,0,0,62,0,0,20,18
mim16.m2c3l,18648,0,0,0,0,0,0,0,0,0,0,18
mim16.m3c3l,10767,0,0,0,0,0,0,0,0,20,0,0
mim16.m1c4l,26331,0,0,0,0,0,0,0,0,0,24,16
mim16.m2c4l,14932,0,0,0,0,0,0,0,0,0,0,0
mim16.m3c4l,28354,0,0,175,0,18,0,0,30,0,0,22
