sample_id,seq12 Parabacteroides;distasonis,seq20 Parabacteroides;distasonis,seq47 Parabacteroides;merdae,seq38 Parabacteroides;distasonis
mim16.m1c3t,0.0006,0,0,0
mim16.m2c3t,0.0049,0.0014,0,0.0006
mim16.m3c3t,0,0,0,0
mim16.m1c4t,0.0005,0.0003,0,0
mim16.m2c4t,0,0,0,0
mim16.m3c4t,0.0127,0.0057,0,0.0018
mim16.m1c1l,0.0007,0,0,0
mim16.m2c1l,0.005,0.0015,0,0.0006
mim16.m3c1l,0,0,0,0
mim16.m3c2l,0,0,0,0
mim16.m1c3l,0,0,0.0036,0
mim16.m2c3l,0,0,0,0
mim16.m3c3l,0,0,0,0
mim16.m1c4l,0,0,0,0
mim16.m2c4l,0,0,0,0
mim16.m3c4l,0,0,0,0
