sample_id,seq6 Turicibacter;sanguinis,seq29 Turicibacter;sanguinis,seq69 Turicibacter;sanguinis,seq102 Turicibacter;sanguinis,seq104 Turicibacter;sanguinis
mim16.m1c3t,0.0013,0,0,0,0
mim16.m2c3t,0.021,0.0019,0,0,0
mim16.m3c3t,0.0007,0,0,0,0
mim16.m1c4t,0.0087,0.0007,0,0,0
mim16.m2c4t,0.0019,0,0,0,0
mim16.m3c4t,0.0263,0.0006,0.0016,0.001,0.0009
mim16.m1c1l,0.0077,0,0,0,0
mim16.m2c1l,0.0082,0,0,0,0
mim16.m3c1l,0,0,0,0,0
mim16.m3c2l,0,0,0,0,0
mim16.m1c3l,0,0,0,0,0
mim16.m2c3l,0.0139,0.002,0,0,0
mim16.m3c3l,0,0,0,0,0
mim16.m1c4l,0.0024,0,0,0,0
mim16.m2c4l,0,0,0,0,0
mim16.m3c4l,0.0032,0.0007,0,0,0
